Topic,Word
10,"['innovation' 'business' 'program' 'event' 'say' 'support' 'technology'
 'opportunity' 'sector' 'conference' 'industry' 'company' 'also' 'year'
 'international' 'provide' 'access' 'showcase' 'state' 'hub' 'australian'
 'development' 'first' 'establish' 'start' 'core' 'incubator' 'part'
 'collaboration' 'base' 'award' 'include' 'global' 'new' 'market'
 'partnership' 'resource' 'trial' 'chief' 'ecosystem' 'grow' 'lead'
 'class' 'operation' 'attract' 'innovator' 'mining' 'winner' 'adelaide'
 'manufacturer' 'skill' 'research' 'vehicle' 'success' 'connect'
 'presence' 'run' 'early' 'create' 'summit' 'emerge' 'hardy' 'networking'
 'receive' 'project' 'scale' 'connection' 'incubation' 'knowledge'
 'foster' 'open' 'national' 'grant' 'shuttle' 'fast' 'south' 'profit'
 'offer' 'today' 'energy' 'medium' 'strong' 'category' 'contract'
 'partner' 'economic' 'entrepreneur' 'continue' 'specialise' 'possible'
 'together' 'looking_forward' 'close' 'demonstrate' 'month' 'com' 'come'
 'wine' 'maker' 'training']"
11,"['start' 'say' 'entrepreneur' 'start_up' 'space' 'business' 'get'
 'innovation' 'go' 'adelaide' 'idea' 'new' 'state' 'year' 'need' 'also'
 'global' 'world' 'work' 'people' 'company' 'first' 'big'
 'state_government' 'founder' 'centre' 'entrepreneurial' 'week'
 'university' 'think' 'program' 'include' 'opportunity' 'industry' 'hub'
 'ecosystem' 'really' 'take' 'community' 'come' 'build' 'develop' 'part'
 'mentor' 'local' 'job' 'event' 'plan' 'director' 'support' 'funding'
 'government' 'set' 'international' 'fund' 'tech' 'open' 'launch' 'run'
 'investor' 'lot' 'hope' 'help' 'know' 'co' 'move' 'make' 'well' 'speaker'
 'research' 'office' 'network' 'together' 'australian' 'already'
 'venture_capital' 'home' 'see' 'happen' 'key' 'good' 'focus' 'successful'
 'place' 'find' 'want' 'great' 'back' 'involve' 'day' 'last' 'venture'
 'investment' 'overseas' 'incubator' 'next' 'conference' 'base' 'partner'
 'recently']"
12,"['reward' 'supermarket' 'retailing' 'exploration' 'program' 'say' 'store'
 'big' 'dress' 'woolworth' 'business' 'education' 'retailer' 'lot'
 'company' 'get' 'way' 'transport' 'talk' 'save' 'carbon' 'sometime'
 'conditioning' 'introductory' 'original' 'dressed' 'officially_opene'
 'agree' 'part' 'present' 'include' 'low' 'equivalent' 'short' 'gather'
 'right' 'monitor' 'money' 'tell' 'address' 'giant' 'footprint' 'gaze'
 'navel' 'sample' 'landfill' 'go' 'co' 'generate' 'mission' 'leader'
 'australian' 'think' 'issue' 'goal' 'ratio' 'imaging' 'take' 'air'
 'recently' 'merger' 'come' 'quarter' 'lighting' 'begin' 'community'
 'eventually' 'consultant' 'guess' 'biotechnology' 'booth' 'practitioner'
 'static' 'purely' 'proval' 'match' 'potentially' 'global' 'laptop' 'want'
 'executive' 'mobile' 'set' 'partner' 'curriculum' 'problem_solve' 'water'
 'solution' 'quit' 'yesterday' 'energy' 'recycle' 'learn' 'cut'
 'advisory_board' 'expert' 'panel' 'highlight' 'impact' 'journey']"
13,"['say' 'company' 'business' 'year' 'work' 'start' 'help' 'people' 'grow'
 'customer' 'make' 'also' 'platform' 'first' 'create' 'investment'
 'include' 'last' 'launch' 'time' 'base' 'use' 'market' 'tech' 'software'
 'month' 'technology' 'focus' 'team' 'see' 'founder' 'australian' 'build'
 'world' 'service' 'product' 'user' 'investor' 'look' 'app' 'want' 'new'
 'good' 'really' 'growth' 'go' 'staff' 'attract' 'lot' 'expand' 'idea'
 'way' 'take' 'industry' 'fund' 'need' 'allow' 'sector' 'think' 'next'
 'get' 'firm' 'well' 'place' 'process' 'great' 'student' 'give' 'come'
 'experience' 'plan' 'provide' 'lead' 'real' 'program' 'support' 'global'
 'employ' 'find' 'client' 'turn' 'change' 'found' 'know' 'offer' 'raise'
 'datum' 'opportunity' 'much' 'big' 'brand' 'day' 'online' 'venture' 'set'
 'deliver' 'many' 'thing' 'co_founder' 'end']"
14,"['say' 'cancer' 'researcher' 'patient' 'use' 'protein' 'stomach_cancer'
 'early_detection' 'blood_t' 'marker' 'lead' 'clinical_trial' 'include'
 'level' 'invasive' 'detect' 'common' 'blood' 'simple' 'identify'
 'australian' 'research' 'second' 'fourth' 'cause' 'death' 'concentration'
 'cost' 'change' 'year' 'soon' 'reduce' 'partner' 'high' 'produce'
 'credit' 'conduct' 'seek' 'run' 'together' 'team' 'need' 'stage'
 'control' 'difference' 'investigate' 'healthy' 'survival' 'biomarker'
 'commercial' 'sensitivity' 'gastric_cancer' 'selectivity' 'endoscopy'
 'stomach' 'jordanna_schriever' 'new' 'discriminate' 'individually' 'away'
 'collaboration' 'large' 'generally' 'director' 'superior' 'clinical'
 'advanced' 'outcome' 'sample' 'non' 'low' 'fund' 'study' 'early_stage'
 'make' 'show' 'part' 'find' 'issue' 'also' 'happen' 'system' 'reporter'
 'people' 'ready' 'huge' 'later' 'little' 'current' 'education' 'discover'
 'investigation' 'project' 'south' 'program' 'rate' 'wide' 'screening'
 'usually' 'scale']"
15,"['buy' 'acquire' 'price_undisclose' 'buying' 'stake' 'year' 'base' 'feed'
 'tariff' 'transaction' 'owner' 'include' 'export' 'undisclosed' 'list'
 'wine' 'majority' 'also' 'large' 'buyout' 'sell' 'fair' 'back'
 'private_equity' 'bid' 'agribusiness' 'fee' 'partner' 'group' 'uranium'
 'school' 'kilowatt' 'origin' 'ahren' 'price_undisclosed' 'takeover'
 'state' 'park' 'electric' 'consolidation' 'oil' 'mori' 'sealink' 'deal'
 'dynamic' 'allegro' 'march' 'seafood' 'draper' 'ahead' 'disagree'
 'credit_union' 'overall' 'other' 'pitch' 'decide' 'merge' 'pay'
 'representative' 'issue' 'federal_government' 'new' 'age' 'control'
 'forward' 'offset' 'presentation' 'dairy' 'masonic' 'fish' 'bdt' 'escosa'
 'kw' 'completion' 'hostile' 'levy' 'solar' 'runner' 'small' 'sedan'
 'woman' 'generate' 'supply' 'cheaply' 'alarm' 'southern' 'price' 'bode'
 'premium' 'worth' 'share' 'cut' 'good' 'announce' 'brock'
 'preliminary_final' 'winner' 'exciting' 'poll' 'mindset']"
16,"['system' 'southstart_conference' 'asbestos' 'solution' 'accounting'
 'market' 'funding' 'product' 'frontier_microscopy' 'cloud' 'business'
 'also' 'say' 'entrepreneur' 'pitching_competition' 'support' 'secure'
 'talk' 'seller' 'invoice' 'web' 'online' 'residence' 'pitch' 'buy'
 'global' 'developer' 'analysis' 'asbestos_air_monitore' 'industry'
 'greenhouse' 'bluethumb' 'develop' 'engineer' 'cloud_base' 'conference'
 'partner' 'upload' 'bet' 'australian' 'high' 'base' 'potential'
 'robotic_microscopy' 'finalist' 'network' 'software' 'sport' 'art'
 'co_founder' 'competition' 'problem' 'progress' 'seawater' 'solar'
 'betswap' 'configure' 'brother' 'founding_partner' 'solve' 'value'
 'start' 'university' 'year' 'avenue' 'enable' 'anticipate' 'real'
 'langer' 'recently' 'ready' 'logistic' 'first' 'rare' 'enthusiast'
 'powered' 'event' 'director' 'frontier' 'local' 'backing' 'spot'
 'sustainable' 'test' 'propose' 'accurate' 'monitor' 'win' 'week' 'exist'
 'initially' 'bid' 'top' 'maker' 'investor' 'improve' 'early' 'present'
 'expert' 'co']"
17,"['gp' 'trial' 'adaptable' 'practitioner' 'diamond' 'clinic' 'rough'
 'clinical_trial' 'conduct' 'clinical' 'appointment' 'start_up'
 'chief_executive' 'phase' 'innoventures' 'operationalise' 'anantula'
 'joint_venture' 'subsidiary' 'pharma' 'underway' 'innoventure' 'inv'
 'drug' 'rapid' 'merge' 'transform' 'profit_organisation' 'parent'
 'setting' 'fund' 'profit' 'hospital' 'consolidate' 'partner' 'base' 'say'
 'expertise' 'return' 'standard' 'investment' 'make' 'raise' 'join'
 'design' 'appoint' 'quickly' 'year' 'market' 'group' 'support' 'owner'
 'look' 'test' 'already' 'business' 'give' 'recently' 'company' 'health'
 'work' 'include' 'go' 'first' 'get' 'time' 'offer' 'traditionally'
 'space' 'want' 'new' 'home' 'program' 'also' 'see' 'industry' 'plan'
 'major' 'australian' 'find' 'next' 'day' 'develop' 'come' 'take'
 'strategy' 'need' 'innovation' 'start' 'service' 'lead' 'product'
 'technology' 'buy' 'much' 'help' 'team' 'really' 'allow' 'good']"
18,"['school' 'student' 'design' 'print' 'learn' 'printer' 'week' 'software'
 'designer' 'showcase' 'printing' 'new' 'makers_empire' 'technology'
 'show' 'sport' 'include' 'model' 'teacher' 'skill' 'child' 'sculpture'
 'local' 'australian' 'next' 'fashion' 'announcement' 'great' 'new_york'
 'use' 'competition' 'sell' 'educate' 'delegate' 'year' 'label' 'program'
 'event' 'design_thinke' 'stall' 'mr_soong' 'tag' 'introduce' 'say'
 'create' 'annual' 'engage' 'feature' 'mundulla_primary' 'start'
 'collection' 'even' 'state' 'engineer' 'anz_innovyz' 'part' 'day'
 'company' 'brand' 'wide' 'sand' 'creative' 'custom' 'ahead' 'well'
 'enjoy' 'way' 'world' 'owner' 'development' 'hour' 'star' 'overseas'
 'performance' 'develop' 'manufacture' 'using_makers_empire' 'grant'
 'display' 'primary' 'headquarter' 'brainstorm' 'stop' 'principal'
 'product' 'support' 'business' 'target' 'base' 'classroom' 'present'
 'critical' 'town' 'receive' 'solution' 'read' 'padthaway' 'involve'
 'prototype' 'come']"
19,"['say' 'go' 'business' 'need' 'company' 'take' 'time' 'thing' 'become'
 'start' 'scale' 'city' 'get' 'workplace' 'change' 'great' 'growth'
 'people' 'big' 'make' 'year' 'risk' 'internet' 'back' 'product' 'even'
 'look' 'cost' 'decision' 'actually' 'think' 'really' 'example' 'large'
 'spend' 'network' 'base' 'global' 'come' 'happen' 'idea' 'well' 'number'
 'employee' 'former' 'executive' 'want' 'develop' 'lot' 'board' 'win'
 'many' 'player' 'low' 'next' 'increase' 'culture' 'job' 'know' 'shift'
 'create' 'market' 'government' 'stuff' 'potential' 'opportunity' 'size'
 'right' 'nearly' 'head' 'potentially' 'australian' 'hand' 'level' 'give'
 'see' 'technology' 'similar' 'decide' 'deputy' 'payment' 'sector'
 'couple' 'day' 'reach' 'way' 'clear' 'good' 'literally' 'work' 'house'
 'past' 'investor' 'meeting' 'try' 'brisbane' 'ingredient' 'stay' 'hard'
 'tram']"
20,"['say' 'fund' 'careapp' 'subscriber' 'app' 'family' 'year' 'new' 'company'
 'advertiser' 'state_government' 'funding' 'isolation' 'local' 'connect'
 'include' 'growth' 'operator' 'venture_capital_fund' 'manager' 'blue_sky'
 'covid' 'manage' 'appoint' 'free' 'commence' 'aged_care' 'agreement'
 'base' 'keep' 'care' 'government' 'high' 'investment' 'tip' 'access'
 'opportunity' 'follow' 'social_distance' 'compelling' 'chat' 'place'
 'innovation' 'reach' 'confirm' 'market' 'share' 'month' 'south' 'private'
 'allow' 'secure' 'service' 'offer' 'venture_capital' 'first' 'staff'
 'video' 'penetration' 'exponential' 'yesterday' 'develop' 'event'
 'account' 'reveal' 'stage' 'tell' 'late' 'boss' 'term' 'post' 'brisbane'
 'support' 'select' 'frontrunner' 'help' 'parent' 'invest' 'later'
 'facility' 'inform' 'run' 'expand' 'additional' 'remain' 'early_stage'
 'make' 'aged_care_facilitie' 'comprise' 'last' 'time' 'also' 'visit'
 'hope' 'team' 'deliver' 'enable' 'monitor' 'find' 'tender']"
21,"['drone' 'technology' 'ms_stead' 'develop' 'say' 'use' 'alien' 'process'
 'also' 'allscript' 'applicant' 'panel' 'year' 'list' 'vehicle'
 'recommendation' 'distort' 'application' 'kickstart' 'voltage'
 'management' 'allow' 'security' 'polymer' 'tender' 'team' 'last' 'group'
 'defence' 'infra' 'troop' 'colour' 'employment' 'advertiser' 'health'
 'ability' 'hospital' 'advise' 'trial' 'change' 'review' 'healthcare'
 'control' 'camouflage' 'ied' 'threat' 'kg' 'short' 'large' 'purchase'
 'new' 'combat' 'counter' 'red' 'environment' 'facility' 'take'
 'successful' 'conduct' 'extend' 'company' 'adaptive' 'cause' 'invisible'
 'protect' 'flexible' 'human' 'previous' 'mount' 'professor' 'cell'
 'aerial' 'fund' 'co' 'role' 'soldier' 'force' 'distance' 'part' 'venture'
 'expect' 'knowing' 'appoint' 'warfare' 'land' 'fee' 'australian'
 'operational' 'apply' 'department' 'turn' 'example' 'ongoing' 'file'
 'make' 'interstate' 'affect' 'lightweight' 'stalk' 'retain']"
22,"['club' 'cricket' 'match' 'year' 'day' 'team' 'play' 'second' 'say'
 'yesterday' 'old' 'crow' 'fall' 'get' 'significant' 'look' 'white' 'know'
 'run' 'game' 'think' 'athletic' 'tourist' 'asian' 'football' 'batsman'
 'work' 'score' 'ball' 'woolmer' 'offer' 'performance' 'start' 'wicket'
 'lot' 'milestone' 'new' 'number' 'parliamentary' 'weekend' 'injury' 'red'
 'come' 'inning' 'influence' 'car_cell' 'unpredictable' 'stone' 'falcon'
 'diamond' 'player' 'feel' 'order' 'collection' 'interest_rate' 'approach'
 'serge' 'facility' 'over' 'renowne' 'minervini' 'loxton_gift'
 'commission' 'excuse' 'surprise' 'pro' 'take' 'hard' 'stock' 'cup'
 'grade' 'put' 'bowl' 'time' 'coach' 'next' 'supporter' 'little' 'mean'
 'scorer' 'reserve_bank' 'thin' 'concerned' 'rba' 'final' 'afternoon'
 'innings' 'phase' 'worry' 'host' 'skill' 'even' 'howard' 'orthodox'
 'moderate' 'polar' 'good' 'size' 'sun' 'finish']"
23,"['governor' 'centre' 'service' 'trial' 'patron' 'technology' 'host'
 'mobility' 'australian' 'resident' 'program' 'morning' 'government' 'say'
 'evening' 'tour' 'provide' 'afternoon' 'industry' 'layer' 'later'
 'student' 'group' 'receive' 'yesterday' 'meet' 'afterwards' 'excellency'
 'autonomous' 'gather' 'attend' 'northern_advanced_manufacturing'
 'present' 'car' 'satellite' 'improve' 'part' 'military_personnel'
 'mrs_scarce' 'award' 'honourable' 'old' 'sense' 'fold' 'life' 'embrace'
 'global' 'governor_addresse' 'launch' 'pod' 'oval' 'reception' 'guest'
 'participate' 'golden_grove_art' 'use' 'driverless' 'lonely' 'look' 'new'
 'make' 'live' 'annual' 'also' 'member' 'way' 'community' 'help' 'show'
 'company' 'operate' 'demand' 'finalist' 'clinical' 'village' 'always'
 'quality' 'elliot_gardens' 'autonomous_vehicle' 'perfect' 'citizen'
 'year' 'range' 'include' 'expect' 'director' 'people' 'research' 'herald'
 'meeting' 'lifestyle' 'interaction' 'anz' 'preside' 'delivery'
 'opportunity' 'initially' 'accompany' 'buccaneer' 'follow']"
24,"['say' 'follow' 'fall' 'loan' 'house' 'estimate' 'hr' 'judge' 'good'
 'last' 'grow' 'state' 'panel' 'build' 'building' 'pitch' 'club' 'funding'
 'winner' 'field' 'shopping_centre' 'approve' 'campaign' 'well' 'start'
 'fund' 'give' 'year' 'final' 'firm' 'source' 'organiser' 'sale' 'new'
 'australian' 'fintech' 'specialist' 'include' 'challenge' 'report'
 'social_media_user' 'month' 'excite' 'decline' 'service' 'inflation'
 'open' 'decision' 'make' 'finalist' 'council' 'accord' 'work' 'datum'
 'spot' 'electorate' 'dry' 'census' 'boost' 'profession' 'go'
 'capital_raise' 'assemble' 'territory' 'part' 'specialised' 'picture'
 'community' 'also' 'councillor' 'upgrade' 'contribute' 'shortage' 'team'
 'chance' 'triple' 'share' 'shipbuilding' 'locally' 'test' 'federal'
 'per_cent' 'jay_weatherill' 'grant' 'development' 'company' 'agnostic'
 'andre_eikmeier' 'number' 'wine' 'owe' 'high_profile' 'anchor'
 'discussion' 'product' 'design' 'apply' 'credit' 'sport' 'clause']"
25,"['say' 'get' 'go' 'play' 'come' 'teamgage' 'thing' 'hard' 'storm' 'good'
 'first' 'want' 'big' 'work' 'run' 'back' 'new' 'see' 'year' 'feel' 'take'
 'make' 'game' 'try' 'think' 'opportunity' 'day' 'help' 'time' 'keep'
 'know' 'point' 'give' 'really' 'look' 'way' 'part' 'lot' 'put' 'chance'
 'footy' 'well' 'people' 'tiger' 'next' 'wall' 'player' 'much' 'mentor'
 'score' 'last' 'able' 'treatment' 'png' 'start' 'pretty' 'fast' 'fan'
 'together' 'term' 'minute' 'learn' 'team' 'young' 'place' 'four_finger'
 'nrl' 'motivate' 'local' 'leave' 'hunter' 'home' 'live' 'talent' 'recall'
 'full' 'position' 'real' 'reason' 'drug' 'car' 'kind' 'regular' 'ce_jim'
 'use' 'brother' 'round' 'natural' 'always' 'step' 'important' 'bad'
 'night' 'friend' 'show' 'advice' 'football' 'train' 'effect' 'urge']"
